,title,summary,detailed_description,facility_name,facility_address,status,source
27,A Phase Ib Study to Determine the Safety and Immunogenicity of the Candidate Middle East Respiratory Syndrome Coronavirus (MERS-CoV) Vaccine ChAdOx1 MERS in Healthy Adult Middle Eastern Volunteers, A phase Ib study to determine the safety and immunogenicity of the candidate Middle East Respiratory Syndrome Coronavirus (MERS-CoV) vaccine ChAdOx1 MERS in healthy adult Middle Eastern volunteers ," This is an open-label, dose escalation phase 1b trial to assess the safety and immunogenicity of the candidate ChAdOx1 MERS vaccine in healthy Middle Eastern adult volunteers aged 18-50. The first-in-human trial is now being conducted in Oxford in UK healthy adult volunteers. The vaccine will be administered intramuscularly. Volunteers will be recruited and vaccinated at the King Abdulaziz Medical City, M-NGHA, Riyadh. There will be 3 study groups and a total of 24 volunteers will be enrolled. Staggered enrolment will apply for the first three volunteers within each group. Volunteers will be first recruited into Group 1 and subsequently into Groups 2 and 3 following interim clinical safety reviews. Volunteers will be allocated to a study group by selecting eligible volunteers for enrolment in the order in which they were deemed eligible, following screening. ","King Abdulaziz Medical City, National Guard Health Affairs","Riyadh, Saudi Arabia",Recruiting,King Abdullah International Medical Research Center
28,"Double-blind, Placebo-controlled Study With an Open Dose Selection Period for Assessing the Safety and Immunogenicity of the Drug BVRS-GamVac"", a Vector Vaccine for the Prevention of the Middle East Respiratory Syndrome, Lyophilisate for the Preparation of a Solution for Intramuscular Administration, With the Participation of Healthy Volunteers"""," The Middle East respiratory syndrome coronavirus (MERS-CoV) was identified in 2012 during the first Middle East respiratory syndrome (MERS) outbreak. MERS-CoV causes an acute lower-respiratory infection in humans, with a fatality rate of ~34.5%. The aim of the study is to assess the safety and immunogenicity of adenoviral-based vaccine against MERS - BVRS-GamVac. "," Two-stage, open-dose, prospective, double-blind, randomized, placebo-controlled study in parallel groups The study will include volunteers of both sexes, aged 18-55 years inclusive. The study will involve 162 (will receive the study drug or placebo) healthy volunteers, of which the first stage, it is planned to vaccinate 40 person with the studied drug (at the same time, the participation of 8 spares *), at the second phase - 122 people, of whom 88 will receive the study drug, and 34 will make up the control group of observation - they will be given a placebo drug. * Volunteers are replaced by spares before the introduction of the drug, if the volunteer took the drug, then its replacement is not performed. Any volunteer who received a dose of the test drug will be considered as included in the study, the data available on it will be used in assessing the safety and tolerability of the drug. ",Research Institute of Influenza,"Sankt-Peterburg, Russian Federation",Recruiting,"Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation"
29,"A Two-center, Randomized, Double-blind, Placebo-controlled, Phase Ib Study to Assess the Safety, Tolerability and Immunogenicity of Two Ascending Doses of the Candidate Vaccine MVA-MERS-S_DF-1 in Healthy Study Subjects"," The study will be a two center, randomized, double blind, placebo controlled study of the MVA MERS S_DF-1 candidate delivered by i.m. injection. To evaluate the MERS-S-specific antibody responses and safety profile induced by the two dosage levels of MVA-MERS-S_DF-1 the data will be compared to a placebo control group. "," This will be a Phase Ib, two-center study in approximately 160 healthy adults aged 18-55 years The study is separated in two parts: Part A: The study starts with a single center open-label run-in phase of two dose levels (cohort 1 low dose"": 2x10^7 PFU, cohort 2 ""high dose"": 2x10^8 PFU) in 10 healthy subjects. 5 subjects will be allocated to each dose cohort and will receive immunization on day 0 and day 28. Part B: Two-center, randomized, double-blind, placebo-controlled, dose-finding study. This part is a double-blinded trial in approximately 150 healthy subjects. Subjects will be allocated to two different dose cohorts and a placebo cohort, each receiving three vaccine injections. """,Erasmus Medical Centre,"Rotterdam, Netherlands",Not yet recruiting,Universitätsklinikum Hamburg-Eppendorf
30,"Glucocorticoid Therapy for Critically Ill Patients With Severe Acute Respiratory Infections Caused by Noval Coronovirus 2019-nCoV: a Prospective, Randomized Controlled Trial"," In this multi-center, randomized, control study, the investigators will evaluate the efficacy and safety of glucocorticoid in combination with standard care for 2019 novel coronavirus (2019-nCoV) patents with Severe acute respiratory failure. "," 2019 novel coronavirus (2019-nCoV) is a novel coronavirus that was initially outbreak in Wuhan, China. Severe acute respiratory infection with novel coronavirus (SARI-nCoV) causes severe acute respiratory failure with substantial mortality. Currently, the standard care is supportive care, and no treatment is proven to be effective for this condition. Glucocorticoid therapy is widely used among critically ill patients with other coronavirus infection such as SARS (severe acute respiratory syndrome) and MERS (Middle East respiratory syndrome). However, whether glucocorticoid improved the outcome of 2019-nConV remains unknown. We hypothesized that glucocorticoid would improve the prognosis of patietns with SARI-nCoV. In this study, critically ill patients with 2019-nConV were enrolled and randomized to receive ether standard care or standard care in combination with methylprednisolone therapy. The primary outcome is the difference of Murray lung injury score between two groups. ","Medical ICU,Peking Union Medical College Hospital","Beijing, China",Recruiting,Peking Union Medical College Hospital
31,Safety and Efficiency of Mesenchymal Stem Cell in Treating Pneumonia Patients Infected With 2019 Novel Coronavirus," The 2019 novel coronavirus (2019-nCoV) infection caused clusters of severe respiratory illness similar to severe acute respiratory syndrome coronavirus and was associated with ICU admission and high mortality. There is no confirmed antivirus therapy for people infected 2019-nCoV, most of them should receive supportive care to help relieve symptoms. For severe cases, treatment should include care to support vital organ functions. This clinical trial is to inspect the safety and efficiency of Mesenchymal Stem Cells (MSCs) therapy for pneumonia patients infected with 2019-nCoV. "," 2019-nCoV infection has become an urgent public health event in China. As of 24:00 on January 26, 2020, there are 2744 confirmed cases and 461 severe cases in China, the number is still increasing. There is currently no vaccine and no specific antiviral treatment recommended for 2019-nCoV infection. About 20% of the patients were severe and some died of respiratory failure or multiple organ failure. Therefore, it is urgent to find a safe and effective therapeutic approach to pneumonia patients infected with 2019-nCoV. In the last year, the promising features of mesenchymal stem cells (MSCs), including their regenerative properties and ability to differentiate into diverse cell lineages, have generated great interest among researchers whose work has offered intriguing perspectives on cell-based therapies for various diseases. These findings seem to highlight that the beneficial effect of MSC-based treatment could be principally due by the immunomodulation and regenerative potential of these cells. The investigators found that infusions of UC-MSC significantly improved liver function in decompensated liver cirrhosis and primary biliary cirrhosis (PBC) patients, increased the survival rate in acute-on-chronic liver failure (ACLF) patients . MSCs could significantly reduce the pathological changes of lung and inhibit the cell-mediated immune inflammatory response induced by influenza virus in animal model . The purpose of this study is to investigate safety and efficiency of MSCs in treating pneumonia patients infected with 2019-nCoV. This multi-center trial will recruit 20 patients. 10 patients received i.v. transfusion one round (3 times) of 3.0*10E7 cells of MSCs as the treated group, all of them received the conventional treatment. In addition, the equal 10 patients received conventional treatment were used as control. The clinical symptoms, pulmonary imaging, side effects, 28-days mortality, immunological characteristics (immune cells, inflammatory factors, etc.) will be evaluated during the 180 days follow up. ",Beijing 302 Military Hospital of China,"Beijing, China",Recruiting,Beijing 302 Hospital
32,"Effects of Traditional Chinese Medicines (TCMs) on Patients With 2019-nCoV Infection: A Perspective, Open-labeled, Randomized, Controlled Trial"," The aim of this study is to test whether Traditional Chinese Medicines (TCMs) are effective and safe for treating 2019-nCoV infection. After the enrolment of approximately 30 subjects, the recruitment will be paused, and planned interim analysis will be performed to preliminarily investigate the efficacy and safety of TCMs in patients infected with 2019-nCoV. "," In December 2019, a cluster of patients with pneumonia in Wuhan, China, was caused by a novel betacoronavirus, which named the 2019 novel coronavirus (2019-nCoV). It was frequently reported that 2019-nCoV could be a public health crisis with high infectiousness, and it naturally spread across the country. Most of patients with 2019-nCoV infection were found to have non-specific symptoms including fever, cough, myalgia and fatigue. In addition, some patients were more likely to develop severe respiratory illness similar to severe acute respiratory syndrome (SARS), or even die. However, there was no timely and effective treatment of patients with 2019-nCoV infection. Traditional Chinese medicines (TCMs), are derived from plants and usually incorporate one or more herbs as the basic drug(s) to treat the disease. An RCT was performed to investigate TCM was effective and safe for treating 2019-nCoV infection. Eligible subjects will be randomized in a 1:1 ratio, and 1 subject on conventional medicines and TCMs granules for every 1 subject on conventional medicines. According to recommendations for prevention and control of pneumonia cause by 2019-nCoV infection from China National Health Commission, conventional medicines involve oxygen therapy and antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, p.o). Additionally, planned interim analysis will be performed, because the prevention and control of 2019-nCoV infection might affect estimated enrollment. ","The Fifth Medical Center, General Hospital of PLA","Beijing, China",Recruiting,Beijing 302 Hospital
33,"A Randomized, Open-label, Controlled Study of the Efficacy of Lopinavir Plus Ritonavir and Arbidol for Treating With Patients With Novel Coronavirus Infection", The study explores the efficacy of lopinavir plus ritonavir and arbidol in treating with novel coronavirus infection. As a result this study would provide evidence for the clinical usage of these drugs in the future . ," This is a phase IV, open-labelled, randomized controlled clinical trial. A total of 125 cases who are novel coronavirus positive are planned to be recruited. These cases are randomized into 3 groups: in group A（Standard treatment+lopinavir/ritonavir）, 50 cases are given ordinary treatment plus a regimen of lopinavir (200mg) and ritonavir (50mg) (oral, q12h, every time 2 tablets of each, taking for 7-14 days). In group B（Standard treatment+arbidol） , 50 cases are given ordinary treatment plus a regimen of arbidol (100mg) (oral, tid, 200mg each time, taking for 7-14 days). In group C（Standard treatment）, 25 cases are only given ordinary treatment. The observation duration is 21 days. Patients will be followed up at baseline (day 0) and day 2, 4, 7, 10,14, 21 after receiving indicated treatment. The primary observed indicators include viral nucleic in acid nose / throat swab, body temperature, respiratory rate, oxygen saturation of blood, chest imaging. The secondary observed indicators include but not limited to blood pressure, heart rate, blood routine test, liver and kidney function, myocardial enzyme, flow cytometry classification and counting, cytokines, other infection indicators, conditions and parameters of auxiliary respiration, the total days in hospital, exacerbation and mortality. ",Guangzhou Eighth People's Hospital,"Guangzhou, China",Recruiting,Guangzhou 8th People's Hospital
34,Efficacy and Safety of Darunavir and Cobicistat for Treatment of Pneumonia Caused by 2019-nCoV, The study aims to evaluate the efficacy and safety of darunavir and cobistastat in the treatment of pneumonia caused by the 2019 novel coronavirus ," There is no vaccine or antiviral treatment for human coronavirus, so this study aims to evaluate the efficacy and safety of darunavir and cobistastat in the treatment of pneumonia caused by the 2019 novel coronavirus. ",Shanghai Public Health Clinical Center,"Shanghai, China",Recruiting,Shanghai Public Health Clinical Center
35,Impact of a Novel Coronavirus (2019-nCoV) Outbreak on Public Anxiety and Cardiovascular Disease Risk in China, Cardiovascular events occurring after 2019-nCoV outbreak in Jinan were prospectively assessed by emergency physicians. We compared those events with events that occurred during the past 3 months and the same months of the last year. , This survey aims to assess whether the public anxiety from a novel coronavirus (2019-nCoV) outbreak increases cardiovascular disease risk in China. Cardiovascular events occurring after 2019-nCoV outbreak in Jinan were prospectively assessed by emergency physicians. We compared those events with events that occurred during the past 3 months and the same months of the last year. ,Central Hospital of Zibo,"Zibo, China",Recruiting,Qilu Hospital of Shandong University
36,"Development of a Simple, Fast and Portable Recombinase Aided Amplification (RAA) Assay for 2019-nCoV"," In late December 2019, several local health facilities reported clusters of patients with pneumonia of unknown cause that were epidemiologically linked to a seafood and wet animal wholesale market in Wuhan, Hubei Province, China. It is now confirmed that the etiology of this outbreak is a novel coronavirus, namely, 2019-nCoV. Of critical importance is rapid and simple diagnostic method to be used in clinical settings to timely inform and refine strategies that can prevent, control, and stop the spread of 2019-nCoV. Recombinase aided amplification (RAA) assay is a novel isothermal nucleic acid amplification technique in recent years, which has a variety of the advantages including high specificity and sensitivity, rapid detection (30 min), low cost, low equipment requirements and simple operation. Our team has successfully detected a variety of pathogens using this technique. To develop a RAA assay for 2019-nCoV with the advantages of high speed, simple operation and low cost, and overcomes the shortcomings of the existing molecular detection methods. We established a real time reverse-transcription RAA (RT-RAA) assay for detection of 2019-nCoV. This assay was performed at 42°C within 30min using a portable real-time fluorescence detector, Recombinant plasmids containing conserved ORF1ab genes was used to analyze the specificity and sensitivity. Clinical specimens from patients who were suspected of being infected with 2019-nCoV were used to evaluate the performance of the assay. In parallel, we also used the commercial RT-qPCR assay kit for 2019-nCoV as a reference. "," In late December 2019, several local health facilities reported clusters of patients with pneumonia of unknown cause that were epidemiologically linked to a seafood and wet animal wholesale market in Wuhan, Hubei Province, China. It is now confirmed that the etiology of this outbreak is a novel coronavirus, namely, 2019-nCoV. Of critical importance is rapid and simple diagnostic method to be used in clinical settings to timely inform and refine strategies that can prevent, control, and stop the spread of 2019-nCoV. Recombinase aided amplification (RAA) assay is a novel isothermal nucleic acid amplification technique in recent years, which has a variety of the advantages including high specificity and sensitivity, rapid detection (30 min), low cost, low equipment requirements and simple operation. Our team has successfully detected a variety of pathogens using this technique. To develop a RAA assay for 2019-nCoV with the advantages of high speed, simple operation and low cost, and overcomes the shortcomings of the existing molecular detection methods. We established a real time reverse-transcription RAA (RT-RAA) assay for detection of 2019-nCoV. This assay was performed at 42°C within 30min using a portable real-time fluorescence detector, Recombinant plasmids containing conserved ORF1ab genes was used to analyze the specificity and sensitivity. Clinical specimens from patients who were suspected of being infected with 2019-nCoV were used to evaluate the performance of the assay. In parallel, we also used the commercial RT-qPCR assay kit for 2019-nCoV as a reference. Patients who were suspected of being infected with 2019-nCoV in the hospital. ","Department of Hepatology Division 2, Beijing Ditan Hospital","Beijing, China",Recruiting,Beijing Ditan Hospital
37,Registry Study on the Efficacy of a Self-test and Self-alert Applet in Detecting Susceptible Infection of COVID-19 ——a Population Based Mobile Internet Survey," The COVID-19 infection self-test and alert system"" (hereinafter referred to as ""COVID-19 self-test applet"") jointly developed by Beijing Tsinghua Changgung Hospital, Institute for precision medicine, artificial intelligence of Tsinghua University was launched on February 1，2020. Residents , according to their actual healthy situation, after answering questions online, the system will conduct intelligent analysis, make disease risk assessment and give healthcare and medical guidance. Based on the Internet population survey, and referring to the diagnosis and screening standards of the National Health Commission of the People's Republic of China, investigators carried out the mobile applet of Internet survey and registry study for the Internet accessible identifiable population, so as to screen the suspected population and guide the medical treatment. """," The COVID-19 infection self-test and alert system"" (hereinafter referred to as ""COVID-19 self-test applet"") jointly developed by Beijing Tsinghua Changgung Hospital, Institute for precision medicine, artificial intelligence of Tsinghua University was launched on February 1，2020. This survey was also advocated by Chinese Medical Doctor Association. Residents , or even oversea Chinese people，according to their actual healthy situation, after answering questions online, the system will conduct intelligent analysis, make disease risk assessment and give healthcare and medical guidance. Based on the Internet population survey, and referring to the diagnosis and screening standards of the National Health Commission of the People's Republic of China, investigators carried out the mobile applet of Internet survey and registry study for the Internet accessible identifiable population, so as to screen the suspected population and guide the medical treatment. """,Beijing Tsinghua Changgung Hospital,"Beijing, China",Recruiting,Beijing Tsinghua Chang Gung Hospital
38,"A Survey of Psychological Status of Medical Workers and Residents in the Context of 2019 Novel Coronavirus Pneumonia in Wuhan, China"," Due to the outbreak of 2019 Novel Coronavirus Pneumonia in Wuhan, Hubei province, medical staff and residents are facing great psychological pressure, the investigator plan to use electronic questionnaire to carry out investigation research. "," From December 2019, 12 cases of new coronavirus pneumonia broke out in Wuhan, and then the epidemic spread rapidly. Till February 1, 2020, there were 14446 confirmed cases in China, 19544 suspected cases, and 304 deaths. There were confirmed cases reported in 34 provincial administrative regions in China, 23 foreign countries reported new coronavirus pneumonia cases, 147 confirmed cases. In the face of the rapid spread of the epidemic, people's panic and anxiety have seriously affected the prevention and control of the epidemic. In the face of the occupational exposure risk and treatment brought by the sudden outbreak of the epidemic, the change of mental state of medical staff may affect the prevention and control of the epidemic. In order to help the epidemic prevention and control, the investigator plan to carry out investigation research. ",Tongji Hospital，Tongji Medical College Affiliated，Huazhong University of Science ＆ Technology,"Wuhan, China",Recruiting,Huazhong University of Science and Technology
39,Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection," In December 2019, a pneumonia due to a novel coronavirus (2019-nCoV) emerged in the city of Wuhan, in China. In a few weeks, the number of confirmed cases of 2019-nCoV infection has dramatically increased, with almost 20'000 cases and more than 400 reported deaths on January, 31st 2020. Little is known on the rate of human-to-human transmission of this new coronavirus 2019-nCoV. In France, subjects with contact considered to be at high or moderate risk of viral transmission with a laboratory-confirmed 2019-nCoV case are being isolated at their home for 14 days and followed up by Santé Publique France or the Agence Régionale de Santé. Whether such subjects become spreaders of the virus, nor is the proportion of viral spreader who will develop a symptomatic infection. In this study, the investigators aim to evaluate the virological and clinical outcomes of subjects following a contact at high/moderate risk of 2019-nCoV transmission. The study population is represented by all subjects who had a contact with laboratory-confirmed 2019-nCoV cases and whose contact was considered to be at high/moderate risk of 2019-nCoV transmission, as defined with precise criteria emitted by the Health Ministry and Santé Publique France. Procedures added by the research: Nasopharyngeal swabs for determination of the presence of 2019-nCoV detected by Polymerase Chain Reaction (PCR). Blood sampling for determination of the presence of 2019-nCoV type M immunoglobulins or type G immunoglobulins by microneutralisation technique. ",,CIC 1425,"Paris, France",Recruiting,"Institut National de la Santé Et de la Recherche Médicale, France"
40,"Randomized, Open, Multicenter Study on the Efficacy and Safety of Arbidol Hydrochloride Tablets in Treating Pneumonia in Patients Infected With Novel Coronavirus (2019-ncov)."," In the absence of 2019-ncov specific therapeutic drugs, arbidol is effective against a variety of coronaviruses in vitro pharmacodynamics. In order to observe the efficacy and safety of arbidol in the treatment of 2019-ncov infected pneumonia, this study is planned. "," In December 2019, Wuhan, in Hubei province, China, became the center of an outbreak of pneumonia of unknown cause. In a short time, Chinese scientists had shared the genome information of a novel coronavirus (2019-nCoV) from these pneumonia patients and developed a real-time reverse transcription PCR (real time RT-PCR) diagnostic assay. The number of cases of infection with 2019-nCoV identified in Wuhan increased markedly over the later part of January 2020, with cases identified in multiple other Provinces of China and internationally. Mathematical models of the expansion phase of the epidemic suggested that sustained person-to-person transmission is occurring, and the R-zero is substantially above 1, the level required for a self-sustaining epidemic in human populations. There is currently no specific treatment for 2019-ncov-infected pneumonia. Arbidol tablet is a non-nucleoside broad-spectrum antiviral drug with immune-enhancing effect. Abidor is pharmacodynamic in vitro against a variety of coronaviruses.This is a randomized, open, multicenter clinical study of pneumonic subjects diagnosed with 2019-ncov infection. The main objective was to compare the viral negative conversion rate in the first week after the subjects were randomized to arbidol plus basic treatment. In this study, 380 eligible patients with pneumonia diagnosed with 2019-ncov infection were randomly assigned to one of two treatment groups at a 1:1 ratio. patients will receive one of two treatment regimens: A .Abidor tablets + basic treatment B. basic treatment Arbidol tablets: take 2 tablets/time, 3 times/day for 14-20 days Basic treatment :The basic treatment used by the investigator was based on the condition of the patient. ",,,Not yet recruiting,Ruijin Hospital
41,Clinical Research Regarding the Availability and Safety of UC-MSCs Treatment for Serious Pneumonia and Critical Pneumonia Caused by the 2019-nCOV Infection," Serious Pneumonia and Critical Pneumonia caused by the 2019-nCOV infection greatly threats patients' life, UC-MSCs treatment has been proved to play a role in curing multiple diseases. And this study is conducted to find out whether or not it will function in 2019-nCOV infection Pneumonia. "," Serious Pneumonia and Critical Pneumonia caused by the 2019-nCOV infection greatly threats patients' life, UC-MSCs treatment has been proved to play a role in curing multiple diseases. And this study is conducted to find out whether or not it will function in 2019-nCOV infection Pneumonia. And we are going to get the permission of the enrolled patients. Besides the present clinical treatment, UC-MSCs treatment will be applied to those fulfilling the enrollment. After a period of UC-MSCs treatment, the analysis of UC-MSCs treatment will be completed from related aspects. ",Zhongnan Hospital of Wuhan University,"Wuhan, China",Recruiting,Zhongnan Hospital
42,Efficacy and Safety of Hydroxychloroquine for Treatment of Pneumonia Caused by 2019-nCoV ( HC-nCoV ), The study aims to evaluate the efficacy and safety of hydroxychloroquine in the treatment of pneumonia caused by the 2019 novel coronavirus ," There is no vaccine or antiviral treatment for human coronavirus, so this study aims to evaluate the efficacy and safety of hydroxychloroquine in the treatment of pneumonia caused by the 2019 novel coronavirus. ",Shanghai Public Health Clinical Center,"Shanghai, China",Completed,Shanghai Public Health Clinical Center
43,Clinical Characterisation Protocol for Severe Emerging Infections," Infectious disease is the single biggest cause of death worldwide. New infectious agents, such as the SARS, MERS and other novel coronavirus, novel influenza viruses, viruses causing viral haemorrhagic fever (e.g. Ebola), and viruses that affect the central nervous system (CNS) such as TBEV & Nipah require investigation to understand pathogen biology and pathogenesis in the host. Even for known infections, resistance to antimicrobial therapies is widespread, and treatments to control potentially deleterious host responses are lacking. In order to develop a mechanistic understanding of disease processes, such that risk factors for severe illness can be identified and treatments can be developed, it is necessary to understand pathogen characteristics associated with virulence, the replication dynamics and in-host evolution of the pathogen, the dynamics of the host response, the pharmacology of antimicrobial or host-directed therapies, the transmission dynamics, and factors underlying individual susceptibility. The work proposed here may require sampling that will not immediately benefit the participants. It may also require analysis of the host genome, which may reveal other information about disease susceptibility or other aspects of health status. ",,"APHP Bichat, Service des Maladies Infectieuses et Tropicales","Paris, France",Recruiting,"Institut National de la Santé Et de la Recherche Médicale, France"
44,Vitamin C Infusion for the Treatment of Severe 2019-nCoV Infected Pneumonia: a Prospective Randomized Clinical Trial," 2019 new coronavirus (2019-nCoV) infected pneumonia, namely severe acute respiratory infection (SARI) has caused global concern and emergency. There is a lack of effective targeted antiviral drugs, and symptomatic supportive treatment is still the current main treatment for SARI. Vitamin C is significant to human body and plays a role in reducing inflammatory response and preventing common cold. In addtion, a few studies have shown that vitamin C deficiency is related to the increased risk and severity of influenza infections. We hypothize that Vitamin C infusion can help improve the prognosis of patients with SARI. Therefore, it is necessary to study the clinical efficacy and safety of vitamin C for the clinical management of SARI through randomized controlled trials during the current epidemic of SARI. "," At the end of 2019, patients with unexplained pneumonia appeared in Wuhan, China. At 21:00 on January 7, 2020, a new coronavirus was detected in the laboratory, and the detection of pathogenic nucleic acids was completed at 20:00 on January 10. Subsequently, the World Health Organization officially named the new coronavirus that caused the pneumonia epidemic in Wuhan as 2019 new coronavirus (2019-nCoV), and the pneumonia was named severe acute respiratory infection (SARI). Up to February 4, 2020, over 20000 cases have been diagnosed in China, 406 of which have died, and 154 cases have been discovered in other countries around the world. Most of the deaths were elderly patients or patients with severe underlying diseases. SARI has caused global concern and emergency. Statistics of the 41 patients with SARI published in JAMA initially showed that 13 patients were transferred into the ICU, of which 11 (85%) had ARDS and 3 (23%) had shock. Of these, 10 (77%) required mechanical ventilation support, and 2 (15%) required ECMO support. Of the above 13 patients, 5 (38%) eventually died and 7 (38%) were transferred out of the ICU. Viral pneumonia is a dangerous condition with a poor clinical prognosis. For most viral infections, there is a lack of effective targeted antiviral drugs, and symptomatic supportive treatment is still the current main treatment. Vitamin C, also known as ascorbic acid, has antioxidant properties. When sepsis happens, the cytokine surge caused by sepsis is activated, and neutrophils in the lungs accumulate in the lungs, destroying alveolar capillaries. Early clinical studies have shown that vitamin C can effectively prevent this process. In addition, vitamin C can help to eliminate alveolar fluid by preventing the activation and accumulation of neutrophils, and reducing alveolar epithelial water channel damage. At the same time, vitamin C can prevent the formation of neutrophil extracellular traps, which is a biological event of vascular injury caused by neutrophil activation. Vitamins can effectively shorten the duration of the common cold. In extreme conditions (athletes, skiers, art workers, military exercises), it can effectively prevent the common cold. And whether vitamin C also has a certain protective effect on influenza patients, only few studies have shown that vitamin C deficiency is related to the increased risk and severity of influenza infections. In a controlled but non-randomized trial, 85% of the 252 students treated experienced a reduction in symptoms in the high-dose vitamin C group (1g / h at the beginning of symptoms for 6h, followed by 3 * 1g / day). Among patients with sepsis and ARDS, patients in the high-dose vitamin group did not show a better prognosis and other clinical outcomes. There are still some confounding factors in the existing research, and the conclusions are different. Therefore, during the current epidemic of SARI, it is necessary to study the clinical efficacy and safety of vitamin C for viral pneumonia through randomized controlled trials. ",Zhongnan Hospital of Wuhan University,"Wuhan, China",Recruiting,Zhongnan Hospital
45,"A Randomized, Open-label, Multi-centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Pneumonia Caused by Novel Coronavirus Infection"," Base on Arbidol antiviral therapy,the investigators conduct a randomized, open-label trial to evaluate and compare the safety and efficacy of ASC09 /ritonavir and lopinavir/ritonavir in patients with 2019-nCoV pneumonia. ",,,,Not yet recruiting,First Affiliated Hospital of Zhejiang University
46,"The Efficacy and Safety of Thalidomide in the Adjuvant Treatment of Moderate New Coronavirus (COVID-19) Pneumonia: a Prospective, Multicenter, Randomized, Double-blind, Placebo, Parallel Controlled Clinical Study"," In December 2019, Wuhan, in Hubei province, China, became the center of an outbreak of pneumonia of unknown cause. In a short time, Chinese scientists had shared the genome information of a novel coronavirus (2019-nCoV) from these pneumonia patients and developed a real-time reverse transcription PCR (real time RT-PCR) diagnostic assay. In view of the fact that there is currently no effective antiviral therapy, the prevention or treatment of lung injury caused by COVID-19 can be an alternative target for current treatment. Thalidomide has anti-inflammatory, anti-fibrotic, anti-angiogenesis, and immune regulation effects. This study is the first Prospective, Multicenter, Randomized, Double-blind, Placebo, Parallel Controlled Clinical Study at home and abroad to use immunomodulators to treat patients with COVID-19 infection. "," The new coronavirus (COVID-19) [1] belongs to the new beta coronavirus. Current research shows that it has 85% homology with bat SARS-like coronavirus (bat-SL-CoVZC45), but its genetic characteristics are similar to SARSr-CoV. There is a clear difference from MERSr-COV. Since December 2019, Wuhan City, Hubei Province has successively found multiple cases of patients with pneumonia infected by a new type of coronavirus. With the spread of the epidemic, as of 12:00 on February 12, 2020, a total of 44726 confirmed cases nationwide (Hubei Province) 33,366 cases, accounting for 74.6%), with 1,114 deaths (1068 cases in Hubei Province), and a mortality rate of 2.49% (3.20% in Hubei Province). In view of the fact that there is currently no effective antiviral therapy, the prevention or treatment of lung injury caused by COVID-19 can be an alternative target for current treatment. Thalidomide has anti-inflammatory, anti-fibrotic, anti-angiogenesis, and immune regulation effects. In the early clinical practice of treating severe A H1N1, it was clinically concerned, and combined with hormones and conventional treatment, and achieved good results. Although the death rate of COVID-19 infected persons is not high, their rapid infectiousness and the lack of effective antiviral treatment currently have become the focus of the national and international epidemic. Thalidomide has been available for more than sixty years, and has been widely used in clinical applications. It has been proved to be safe and effective in IPF, severe H1N1 influenza lung injury and paraquat poisoning lung injury, and the mechanism of anti-inflammatory and anti-fibrosis is relatively clear. As the current research on COVID-19 at home and abroad mainly focuses on the exploration of antiviral efficacy, this study intends to find another way to start with host treatment in the case that antiviral is difficult to overcome in the short term, in order to control or relieve lung inflammation caused by the virus To improve lung function. This study is the first study at home and abroad to use immunomodulators to treat patients with COVID-19 infection. It is hoped that the patients can get out of the bitter sea as soon as possible and provide effective solutions for the country and society. ",,,Not yet recruiting,First Affiliated Hospital of Wenzhou Medical University
